collected_at,symbol,datetime,open,high,low,close,volume,interval,exchange,currency
2026-07-30T17:37:33+00:00,CAT,2026-06-17,956.97998,975.64001,953.0,955.91998,2743900,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-06-18,979.0,994.48999,976.33002,985.82001,6175000,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-06-22,999.28003,1023.28998,999.0,1022.28003,4033500,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-06-23,985.25,994.59998,972.65002,984.23999,4286900,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-06-24,981.60999,1004.87,970.049988,994.45001,3526000,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-06-25,1024.64001,1057.069946,1015.0,1057.01001,4642100,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-06-26,1031.84998,1031.84998,989.64001,997.46997,13948500,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-06-29,998.40997,1039.069946,992.10999,1033.18994,3146900,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-06-30,1045.0,1073.45996,1037.20996,1064.90002,3287500,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-07-01,1033.92004,1041.26001,985.049988,991.40997,3914100,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-07-02,1001.28003,1001.28003,948.78003,963.53003,3568600,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-07-06,979.090027,991.0,963.32001,969.91998,2441700,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-07-07,946.5,950.0,909.53003,940.12,3810200,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-07-08,937.51001,955.0,925.26001,948.080017,2741500,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-07-09,975.080017,983.15997,934.38,938.39001,3521200,1day,NYSE,USD
